City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Labuhan,ID,-6.8844,112.2051,77.86,87,70,6.93,broken clouds
110,Shache,CN,38.4167,77.2406,73.71,52,82,6.58,broken clouds
111,Dakar,SN,14.6937,-17.4441,82.53,83,40,18.41,scattered clouds
112,Havre-Saint-Pierre,CA,50.2334,-63.5986,71.96,56,0,5.75,clear sky
113,Hami,CN,42.8,93.45,75.76,26,43,14.63,scattered clouds
114,Kushima,JP,31.4583,131.2333,81.41,86,71,4.18,broken clouds
115,Turukhansk,RU,65.8167,87.9833,51.19,55,98,13.69,overcast clouds
116,Bethel,US,41.3712,-73.414,78.67,50,75,11.5,broken clouds
117,Pustoshka,RU,56.3355,29.369,61.23,78,28,5.08,scattered clouds
118,Hofn,IS,64.2539,-15.2082,49.48,82,100,8.03,overcast clouds
119,Dingle,PH,10.9995,122.6711,76.64,91,99,1.99,overcast clouds
120,Mattru,SL,7.6244,-11.8332,73.13,92,95,2.01,light rain
121,Saskylakh,RU,71.9167,114.0833,45.28,66,57,3.78,broken clouds
122,Eyl,SO,7.9803,49.8164,77.99,70,11,24.61,few clouds
123,Navalmoral De La Mata,ES,39.8916,-5.5406,75.67,27,0,3.13,clear sky
124,Chuy,UY,-33.6971,-53.4616,55.85,92,10,5.91,clear sky
125,Bayir,TR,37.2687,28.2167,66.72,67,0,4.99,clear sky
126,Hamilton,US,39.1834,-84.5333,83.25,49,0,9.22,clear sky
127,Hithadhoo,MV,-0.6,73.0833,82.24,75,79,6.11,broken clouds
128,Shelburne,CA,44.0787,-80.2041,76.77,29,69,6.49,broken clouds
129,Cherskiy,RU,68.75,161.3,43.27,65,100,6.13,overcast clouds
130,Slave Lake,CA,55.2834,-114.769,78.78,61,0,6.91,clear sky
131,Hilo,US,19.7297,-155.09,89.28,77,72,1.99,broken clouds
132,Ahipara,NZ,-35.1667,173.1667,55.72,74,89,2.26,overcast clouds
133,Iqaluit,CA,63.7506,-68.5145,51.53,71,75,11.5,broken clouds
134,Port Elizabeth,ZA,-33.918,25.5701,47.32,99,40,6.91,scattered clouds
135,Hailar,CN,49.2,119.7,57.69,75,100,5.12,overcast clouds
136,Chuchkovo,RU,54.2693,41.4465,64.9,60,91,6.73,overcast clouds
137,Ancud,CL,-41.8697,-73.8203,45.93,79,32,22.5,light rain
138,Nazira,IN,26.9167,94.7333,75.87,97,58,2.89,broken clouds
