City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
321,Morant Bay,JM,83.82,light rain,17.8815,-76.4093,Whispering Bamboo Cove Resort
322,Lincoln,US,87.71,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
323,Fort Nelson,CA,80.19,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
325,Baglung,NP,71.13,overcast clouds,28.2719,83.5898,Hotel Peace Palace
328,Bandarbeyla,SO,77.02,broken clouds,9.4942,50.8122,JABIR HOTEL
332,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
333,Tabas,IR,81.23,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
336,Kassala,SD,78.44,overcast clouds,15.451,36.4,Amassi Hotel Gash
337,Marietta,US,84.31,broken clouds,33.9526,-84.5499,Hilton Atlanta/Marietta Hotel & Conference Center
338,Chhatak,BD,79.74,broken clouds,25.0333,91.6667,Hotel Sadi Internationl
339,Nizwa,OM,85.96,overcast clouds,22.9333,57.5333,Orient Apartments
341,Majene,ID,76.23,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
342,Trairi,BR,78.19,broken clouds,-3.2778,-39.2689,janelas do mar
346,Marienburg,PL,71.11,overcast clouds,54.0359,19.0266,Hotel Centrum Malbork
349,Moctezuma,MX,93.54,scattered clouds,29.8,-109.6667,Hotel Lobohombo
350,Magalia,US,92.43,clear sky,39.8121,-121.5783,Paradise Pines RV Park - FHU - Safe & Clean
352,Vila Franca Do Campo,PT,77.2,clear sky,37.7167,-25.4333,Pestana Bahia Praia
354,Tanete,ID,72.01,heavy intensity rain,-3.9443,119.7848,Wisma Tri Multi
355,Yinchuan,CN,76.86,broken clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
357,Lompoc,US,93.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
359,Nago,JP,82.45,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
360,Pazmand,HU,71.71,overcast clouds,47.2876,18.6536,Walzer Panzió
361,Omboue,GA,72.09,overcast clouds,-1.5746,9.2618,Hotel Olako
362,Sao Gabriel Da Cachoeira,BR,76.8,light rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
363,La Ronge,CA,71.85,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
372,Loreto,MX,77.92,overcast clouds,22.2667,-101.9667,José de Jesús Velásquez mora
373,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
374,Mao,ES,82.96,clear sky,39.8885,4.2658,ARTIEM Capri
379,Jackson,US,90.75,clear sky,42.4165,-122.8345,Agate Village Apartments
381,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
384,Bahar,IR,71.76,clear sky,34.9072,48.4414,هتل ولفجر
387,Tecoanapa,MX,85.51,overcast clouds,16.5167,-98.75,Hotel Manglares
389,Coahuayana,MX,82.99,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
390,Constantine,DZ,83.61,clear sky,36.365,6.6147,Grand Hotel Cirta
392,Ariquemes,BR,86.09,clear sky,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
393,Nikki,BJ,72.39,overcast clouds,9.9401,3.2108,Monnon
394,Maumere,ID,77.56,few clouds,-8.6199,122.2111,Sylvia Hotel
399,Nhulunbuy,AU,70.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
400,Nakamura,JP,80.98,broken clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
402,Newnan,US,84.7,broken clouds,33.3807,-84.7997,La Quinta Inn & Suites by Wyndham Atlanta South - Newnan
403,Morden,CA,81.09,clear sky,49.1919,-98.1014,Morden Motor Inn
409,Gilgit,PK,82.47,scattered clouds,35.9221,74.3087,Tourist Hamlet Gilgit
410,Gimli,CA,81.73,broken clouds,50.6336,-96.9907,Lakeview Gimli Resort
411,Harper,LR,75.83,broken clouds,4.375,-7.7169,Screensaver
413,Mormugao,IN,78.44,overcast clouds,15.4,73.8,Coconut Creek Resort
414,Flin Flon,CA,75.04,scattered clouds,54.7682,-101.865,Victoria Inn Flin Flon
